City,Median_Age,Median_Income,Normalized_Income,Male_Percent,Hispanic_Percent
Aliso Viejo,46.0,40000.0,0.76,0.47,0.14
Anaheim,34.0,20000.0,0.22,0.51,0.55
Brea,39.0,31800.0,0.54,0.5,0.34
Buena Park,41.0,24000.0,0.33,0.49,0.28
Costa Mesa,36.0,30000.0,0.49,0.5,0.28
Cypress,41.0,24000.0,0.33,0.49,0.28
Dana Point,48.0,35000.0,0.62,0.5,0.19
Fountain Valley,36.0,30000.0,0.49,0.5,0.28
Fullerton,35.0,23000.0,0.3,0.51,0.45
Garden Grove,38.0,17000.0,0.14,0.48,0.32
Huntington Beach,42.0,31200.0,0.52,0.5,0.19
Irvine,35.0,30000.0,0.49,0.49,0.19
La Habra,40.0,29000.0,0.46,0.5,0.29
La Palma,39.0,24000.0,0.33,0.48,0.32
Laguna Beach,48.0,35000.0,0.62,0.5,0.19
Laguna Hills,46.0,40000.0,0.76,0.47,0.14
Laguna Niguel,48.0,35000.0,0.62,0.5,0.19
Laguna Woods,48.0,35000.0,0.62,0.5,0.19
Lake Forest,37.0,31100.0,0.52,0.48,0.28
Los Alamitos,41.0,24000.0,0.33,0.49,0.28
Mission Viejo,43.0,32000.0,0.54,0.49,0.18
Newport Beach,46.0,40000.0,0.76,0.47,0.14
Orange,35.0,27500.0,0.42,0.49,0.4
Placentia,35.0,23000.0,0.3,0.51,0.45
Rancho Santa Margarita,41.0,39700.0,0.75,0.48,0.17
San Clemente,48.0,35000.0,0.62,0.5,0.19
San Juan Capistrano,48.0,35000.0,0.62,0.5,0.19
Santa Ana,32.0,18700.0,0.19,0.51,0.77
Seal Beach,41.0,24000.0,0.33,0.49,0.28
Stanton,39.0,17100.0,0.14,0.47,0.31
Tustin,35.0,30000.0,0.49,0.49,0.19
Westminster,39.0,17100.0,0.14,0.47,0.31
Yorba Linda,39.0,31800.0,0.54,0.5,0.34
Agoura Hills,46.0,36000.0,0.65,0.47,0.09
Alhambra,40.0,23700.0,0.32,0.49,0.32
Arcadia,40.0,23900.0,0.33,0.49,0.23
Artesia,39.0,24000.0,0.33,0.48,0.32
Avalon,46.0,40000.0,0.76,0.47,0.14
Azusa,35.0,19000.0,0.19,0.47,0.64
Baldwin Park,35.0,19000.0,0.19,0.47,0.64
Bell Gardens,30.0,13800.0,0.05,0.5,0.96
Bellflower,32.0,17000.0,0.14,0.5,0.66
Beverly Hills,42.0,41100.0,0.79,0.53,0.1
Burbank,39.0,28000.0,0.44,0.48,0.22
Calabasas,46.0,36000.0,0.65,0.47,0.09
Carson,40.0,20000.0,0.22,0.47,0.4
Cerritos,39.0,24000.0,0.33,0.48,0.32
Claremont,41.0,29200.0,0.47,0.47,0.34
Commerce,30.0,13800.0,0.05,0.5,0.96
Compton,30.0,16000.0,0.11,0.49,0.67
Covina,38.0,21000.0,0.25,0.49,0.54
Culver City,37.0,45000.0,0.89,0.49,0.19
Diamond Bar,40.0,22700.0,0.29,0.49,0.2
Downey,34.0,24000.0,0.33,0.49,0.77
Duarte,35.0,19000.0,0.19,0.47,0.64
El Monte,33.0,14000.0,0.06,0.51,0.69
El Segundo,32.0,21000.0,0.25,0.51,0.58
Gardena,37.0,18000.0,0.17,0.49,0.5
Glendale,43.0,16600.0,0.13,0.46,0.17
Glendora,41.0,29200.0,0.47,0.47,0.34
Hawaiian Gardens,39.0,24000.0,0.33,0.48,0.32
Hawthorne,32.0,21000.0,0.25,0.51,0.58
Hermosa Beach,41.0,49000.0,1.0,0.51,0.13
Huntington Park,29.0,13800.0,0.05,0.52,0.95
Industry,35.0,18000.0,0.17,0.5,0.83
Inglewood,36.0,20000.0,0.22,0.49,0.54
Irwindale,35.0,19000.0,0.19,0.47,0.64
La Canada Flintridge,43.0,16600.0,0.13,0.46,0.17
La Mirada,36.0,20000.0,0.22,0.49,0.61
La Puente,35.0,18000.0,0.17,0.5,0.83
La Verne,41.0,29200.0,0.47,0.47,0.34
La Habra Heights,40.0,22700.0,0.29,0.49,0.2
Lakewood,39.0,24000.0,0.33,0.48,0.32
Lancaster,35.0,15000.0,0.09,0.52,0.41
Lawndale,37.0,18000.0,0.17,0.49,0.5
Lomita,42.0,30000.0,0.49,0.48,0.2
Long Beach,35.0,22000.0,0.27,0.48,0.43
Los Angeles,35.0,20000.0,0.22,0.49,0.49
Lynwood,30.0,13400.0,0.04,0.48,0.93
Malibu,46.0,36000.0,0.65,0.47,0.09
Manhattan Beach,41.0,49000.0,1.0,0.51,0.13
Monrovia,40.0,23900.0,0.33,0.49,0.23
Montebello,37.0,19500.0,0.21,0.48,0.82
Monterey Park,43.0,16000.0,0.11,0.5,0.29
Norwalk,36.0,21000.0,0.25,0.5,0.69
Palmdale,32.0,15000.0,0.09,0.5,0.57
Palos Verdes,48.0,36000.0,0.65,0.48,0.16
Paramount,32.0,17000.0,0.14,0.5,0.66
Pasadena,38.0,26000.0,0.38,0.49,0.34
Pico Rivera,37.0,19500.0,0.21,0.48,0.82
Pomona,33.0,15600.0,0.1,0.5,0.72
Redondo Beach,41.0,49000.0,1.0,0.51,0.13
Rosemead,43.0,16000.0,0.11,0.5,0.29
San Dimas,41.0,29200.0,0.47,0.47,0.34
San Fernando,35.0,17000.0,0.14,0.49,0.86
San Gabriel,42.0,26500.0,0.4,0.49,0.22
San Marino,42.0,26500.0,0.4,0.49,0.22
Santa Clarita,37.0,27000.0,0.41,0.49,0.32
Santa Fe Springs,36.0,20000.0,0.22,0.49,0.61
Santa Monica,40.0,38400.0,0.72,0.48,0.16
Signal Hill,32.0,21800.0,0.27,0.5,0.42
South El Monte,33.0,14000.0,0.06,0.51,0.69
South Gate,30.0,13400.0,0.04,0.48,0.93
South Pasadena,40.0,23700.0,0.32,0.49,0.32
Temple City,40.0,23900.0,0.33,0.49,0.23
Torrance,42.0,30000.0,0.49,0.48,0.2
Vernon,28.0,11800.0,0.0,0.5,0.9
Walnut,33.0,16800.0,0.13,0.5,0.72
West Covina,36.0,20000.0,0.22,0.5,0.62
West Hollywood,42.0,41100.0,0.79,0.53,0.1
Westlake Village,46.0,36000.0,0.65,0.47,0.09
Whittier,38.0,25000.0,0.35,0.5,0.63
Woodland Hills,37.0,27200.0,0.41,0.5,0.31
